pred,score_raw,rank,score_transform
0.439530198658985,560.469801341015,2000,901.63625881643
0.445080317515254,554.919682484746,1999,890.148572408315
0.45821387312075,541.78612687925,1998,863.274665634256
0.462743407875901,537.256592124099,1997,854.104759615739
0.465181079360064,534.818920639936,1996,849.190193680558
0.468227065380573,531.772934619427,1995,843.069076362018
0.47272960375945,527.270396240551,1994,834.060896365179
0.473309582192387,526.690417807613,1993,832.903976279581
0.473917929938841,526.08207006116,1992,831.691303651801
0.474761267578022,525.238732421978,1991,830.011620415903
0.474803468774728,525.196531225272,1990,829.927611039398
0.475243727288805,524.756272711195,1989,829.051438898213
0.476897409099776,523.102590900224,1988,825.764376732589
0.479691339475161,520.308660524839,1987,820.225027825936
0.480635045802646,519.364954197354,1986,818.358011715082
0.483765714274941,516.234285725059,1985,812.178735716072
0.484237018322204,515.762981677796,1984,811.250388208332
0.485185394628063,514.814605371937,1983,809.38383624035
0.488151483443478,511.848516556523,1982,803.559029924537
0.489303728262901,510.696271737099,1981,801.30150223354
0.495889570283029,504.110429716971,1980,788.453997627751
0.496030119348128,503.969880651872,1979,788.180843735021
0.496362953401377,503.637046598623,1978,787.534158083055
0.498248624112185,501.751375887816,1977,783.874856871878
0.498303143157541,501.696856842459,1976,783.769171512004
0.499105613464411,500.894386535589,1975,782.21431514253
0.500192377145857,499.807622854143,1974,780.110805804509
0.500375174803627,499.624825196373,1973,779.75723482355
0.502449535568356,497.550464431645,1972,775.749930716365
0.503273900422513,496.726099577487,1971,774.159928212003
0.503596900601288,496.403099398712,1970,773.537328778468
0.504252532438084,495.747467561916,1969,772.274239750768
0.504436216673392,495.563783326608,1968,771.920530065164
0.504524290297483,495.475709702517,1967,771.750957110088
0.505861568279817,494.138431720183,1966,769.178220523878
0.506057919832324,493.942080167676,1965,768.800782563508
0.506259196032742,493.740803967258,1964,768.413961760803
0.506375936589403,493.624063410597,1963,768.189643758565
0.506980926302311,493.019073697689,1962,767.027606113214
0.507137599816529,492.862400183471,1961,766.726798859287
0.507849419238656,492.150580761344,1960,765.360775555182
0.508986891077958,491.013108922043,1959,763.180084369472
0.509100559942533,490.899440057467,1958,762.962312770921
0.511003809277241,488.996190722759,1957,759.319952669785
0.511287083061263,488.712916938737,1956,758.778473279651
0.511529908131965,488.470091868035,1955,758.314443154204
0.513818447957516,486.181552042484,1954,753.947062932744
0.515015347604319,484.984652395681,1953,751.667196191154
0.515741589562871,484.258410437129,1952,750.285263363565
0.515901178035053,484.098821964947,1951,749.981733172365
0.516437937486925,483.562062513075,1950,748.961219284044
0.517239946380045,482.760053619956,1949,747.437486328883
0.517728616340711,482.271383659289,1948,746.509701572833
0.517867776326995,482.132223673005,1947,746.245581687385
0.519736206894819,480.263793105181,1946,742.703151663915
0.52095902321404,479.04097678596,1945,740.388557446515
0.522228228895655,477.771771104345,1944,737.989313749879
0.522357712416151,477.642287583849,1943,737.74472486588
0.522527831346672,477.472168653328,1942,737.423428094213
0.522846283814866,477.153716185134,1941,736.822134358219
0.523240403202429,476.759596797571,1940,736.078247134936
0.52324782445325,476.75217554675,1939,736.064242727679
0.523335721288022,476.664278711979,1938,735.898383704637
0.523345603990394,476.654396009606,1937,735.879736262529
0.523684107683604,476.315892316396,1936,735.241138375269
0.524236095300695,475.763904699305,1935,734.200283099631
0.524580444782527,475.419555217473,1934,733.551265889795
0.525244176882305,474.755823117695,1933,732.300948865874
0.525426291453126,474.573708546874,1932,731.958039284325
0.525912855317074,474.087144682926,1931,731.042192514449
0.526636502399603,473.363497600397,1930,729.68095158561
0.527841269089304,472.158730910696,1929,727.416964430072
0.529118240812191,470.881759187809,1928,725.020390722587
0.529214555032869,470.785444967131,1927,724.839760803109
0.529254638158343,470.745361841657,1926,724.764593309596
0.529494262816919,470.505737183081,1925,724.315292823807
