pred,score_raw,rank,score_transform
0.0103858870864576,989.614112913542,2000,945.573371864234
0.0134490619757552,986.550938024245,1999,898.370514412723
0.016030032701091,983.969967298909,1998,866.30894533781
0.0163453165643166,983.654683435683,1997,862.751784887541
0.0164125727130034,983.587427286997,1996,862.001857631058
0.017009116796935,982.990883203065,1995,855.481630661627
0.0172310453467781,982.768954653222,1994,853.11415300565
0.0184011205729685,981.598879427032,1993,841.115563907059
0.0188650681818747,981.134931818125,1992,836.567999646482
0.0198433109946675,980.156689005332,1991,827.335132050478
0.0202189461304873,979.781053869513,1990,823.910247266673
0.0203008214684309,979.699178531569,1989,823.172191470446
0.0208761535812087,979.123846418791,1988,818.068376938259
0.021633215667587,978.366784332413,1987,811.562659416813
0.0233197559690522,976.680244030948,1986,797.852432089182
0.0233800825373499,976.61991746265,1985,797.38059081471
0.0238030353814676,976.196964618532,1984,794.106283858017
0.0238605952805197,976.13940471948,1983,793.665185380742
0.0239664540391912,976.033545960809,1982,792.856729428872
0.0241326546562299,975.86734534377,1981,791.59461196535
0.0243630086422674,975.636991357733,1980,789.8596157227
0.0244729336131303,975.52706638687,1979,789.03744886589
0.0249667916435617,975.033208356438,1978,785.388708499311
0.025251101332884,974.748898667116,1977,783.320757429637
0.0258438426329498,974.15615736705,1976,779.083262526034
0.0259074095452623,974.092590454738,1975,778.634607107764
0.0260734420445222,973.926557955478,1974,777.467922047816
0.0261651005215584,973.834899478442,1973,776.827030601637
0.0264781550095149,973.521844990485,1972,774.654905875829
0.0268211187562352,973.178881243765,1971,772.304540601449
0.0269099494268485,973.090050573151,1970,771.700674978926
0.0272064265079565,972.793573492043,1969,769.699573049753
0.0275674595138793,972.432540486121,1968,767.291985507432
0.02769527418481,972.30472581519,1967,766.447190068245
0.0277305928986312,972.269407101369,1966,766.214437282818
0.0280813802572439,971.918619742756,1965,763.9186866074
0.0286277117398905,971.37228826011,1964,760.399685406339
0.0293454935045601,970.65450649544,1963,755.877069080792
0.0297695400610316,970.230459938968,1962,753.256923068512
0.030234812925393,969.765187074607,1961,750.424643524598
0.0305214326341441,969.478567365856,1960,748.701502636533
0.030527308447886,969.472691552114,1959,748.666347098105
0.0306257289909647,969.374271009035,1958,748.078491655499
0.0306341532903595,969.365846709641,1957,748.028262013565
0.0306471557132653,969.352844286735,1956,747.950762548492
0.0306520131363501,969.34798686365,1955,747.921818865573
0.0306962212474028,969.303778752597,1954,747.658608850536
0.030831987233182,969.168012766818,1953,746.852637031846
0.0312153451045965,968.784654895403,1952,744.595856942874
0.0312278791016201,968.77212089838,1951,744.522539599839
0.0315091027101798,968.49089728982,1950,742.88521982012
0.031522517377391,968.477482622609,1949,742.807483516787
0.0319663060109623,968.033693989038,1948,740.254262479895
0.0321476965829787,967.852303417021,1947,739.220869699545
0.0322442268689936,967.755773131007,1946,738.673305602143
0.0322466741117153,967.753325888285,1945,738.659445033568
0.0326566182433854,967.343381756615,1944,736.352346379016
0.0327736418133379,967.226358186662,1943,735.699069024699
0.032800688222907,967.199311777093,1942,735.548415871057
0.0335992331187703,966.40076688123,1941,731.155477034905
0.0336672528945372,966.332747105463,1940,730.78612623192
0.0338066258267934,966.193374173207,1939,730.031649547868
0.0339354601615471,966.064539838453,1938,729.336983582382
0.0340006698027813,965.999330197219,1937,728.986382231321
0.0340532395308197,965.94676046918,1936,728.704228899567
0.0341808007394431,965.819199260557,1935,728.021386486563
0.0342410180365211,965.758981963479,1934,727.699924813985
0.0342422602101814,965.757739789819,1933,727.693299595286
0.0343068677819868,965.693132218013,1932,727.349041582549
0.0346643008822903,965.33569911771,1931,725.456116108985
0.0347164034785625,965.283596521438,1930,725.181817764619
0.0347811047698392,965.218895230161,1929,724.841765020091
0.0348172162518236,965.182783748176,1928,724.652247645082
0.0349099080893979,965.090091910602,1927,724.166688165119
0.0350559402470719,964.944059752928,1926,723.404318735988
0.0355076256880351,964.492374311965,1925,721.066214069476
0.0355766653938942,964.423334606106,1924,720.711459599135
0.0356885421391298,964.31145786087,1923,720.138049853112
0.0358097000955135,964.190299904487,1922,719.519094341546
0.035862633372526,964.137366627474,1921,719.24933297036
0.0360114029617879,963.988597038212,1920,718.493292238624
0.0360149753682237,963.985024631776,1919,718.475175845762
0.0360731886471559,963.926811352844,1918,718.18021753583
0.0362166808652044,963.783319134796,1917,717.455190965217
0.0363076675186244,963.692332481376,1916,716.996947238379
0.0363884009535928,963.611599046407,1915,716.591303170102
0.0368333255325604,963.16667446744,1914,714.371807904817
0.0369218004332979,963.078199566702,1913,713.933650124589
0.0371634615294807,962.836538470519,1912,712.742191665482
0.0371641091481478,962.835890851852,1911,712.739009140185
0.0372715282683997,962.7284717316,1910,712.211896506454
0.0373432497204599,962.65675027954,1909,711.860799763445
0.0373754891811624,962.624510818838,1908,711.703198132872
0.0375364039111012,962.463596088899,1907,710.918598427215
0.0377207780587497,962.27922194125,1906,710.023737827051
0.0378719812141346,962.128018785865,1905,709.293131077899
0.0379455590877571,962.054440912243,1904,708.938660557642
0.0382036863659866,961.796313634013,1903,707.700512999229
0.0383240695198432,961.675930480157,1902,707.125934273982
0.0389024101958527,961.097589804147,1901,704.390488793507
0.0391432389064775,960.856761093522,1900,703.263386362806
0.0393929531581521,960.607046841848,1899,702.101998195387
0.0394555579997799,960.54444200022,1898,701.811985533393
0.0396821794831106,960.317820516889,1897,700.76601107506
0.0398193342541777,960.180665745822,1896,700.135869118619
0.0398787908967254,960.121209103275,1895,699.863376463002
0.0399879397344407,960.012060265559,1894,699.364197903541
