pred,score_raw,rank,score_transform
0.0122492692124888,987.750730787511,2000,851.304099576657
0.0129911123890886,987.008887610912,1999,846.076094487843
0.0152783282904928,984.721671709507,1998,831.211210258177
0.0170836053348168,982.916394665183,1997,820.581629561709
0.0180373050728207,981.962694927179,1996,815.292204561763
0.0181794838661352,981.820516133865,1995,814.52113826409
0.0219961654983535,978.003834501646,1994,795.285881035574
0.022367072466619,977.632927533381,1993,793.549501399896
0.022703741857107,977.296258142893,1992,791.991385622031
0.0232393467137624,976.760653286238,1991,789.546759861372
0.0240405256333816,975.959474366618,1990,785.965132440882
0.0241692381129839,975.830761887016,1989,785.397831328851
0.0242894614505242,975.710538549476,1988,784.869921163269
0.0244779689763182,975.522031023682,1987,784.045970708335
0.0246788831942053,975.321116805795,1986,783.172840635618
0.024842420021,975.157579979,1985,782.465941392594
0.0250283616530436,974.971638346956,1984,781.666282760318
0.0257627507277007,974.237249272299,1983,778.549444661994
0.0258703449291805,974.12965507082,1982,778.098231716742
0.0260901174260064,973.909882573994,1981,777.180792624208
0.0268016401128164,973.198359887184,1980,774.24845450387
0.0270660627396896,972.93393726031,1979,773.173096984606
0.0275070751443909,972.492924855609,1978,771.396404742987
0.0276762512316122,972.323748768388,1977,770.720330598632
0.0276921091824373,972.307890817563,1976,770.657111604962
0.0277695709084076,972.230429091593,1975,770.348680893556
0.0280136403793519,971.986359620648,1974,769.380926043213
0.0289365457689492,971.063454231051,1973,765.775868630785
0.0292422715862416,970.757728413758,1972,764.600036617636
0.0298217271274318,970.178272872568,1971,762.395664140078
0.030001537801809,969.998462198191,1970,761.717943570998
0.0301064810900238,969.893518909976,1969,761.323763962726
0.0302971962967348,969.702803703265,1968,760.609957484076
0.0304054403978852,969.594559602115,1967,760.206270953937
0.0304359307110335,969.564069288966,1966,760.092748218359
0.0309924944944932,969.007505505507,1965,758.034869470265
0.0311776429820824,968.822357017918,1964,757.356229622475
0.0317050044216516,968.294995578348,1963,755.439128129448
0.0318868591017072,968.113140898293,1962,754.783399255791
0.0320627082642751,967.937291735725,1961,754.151898417799
0.0323587822558018,967.641217744198,1960,753.094301751125
0.0325908087472858,967.409191252714,1959,752.270379876265
0.0326557364357491,967.344263564251,1958,752.04058463082
0.0326846657257143,967.315334274286,1957,751.93830334125
0.0328151364463072,967.184863553693,1956,751.47782984459
0.033211319232586,966.788680767414,1955,750.087657859598
0.0333600885107766,966.639911489223,1954,749.568743957542
0.0334351209312664,966.564879068734,1953,749.307663763459
0.0343465644636423,965.653435536358,1952,746.169649717006
0.034481021456782,965.518978543218,1951,745.711854647589
0.0348154644296672,965.184535570333,1950,744.57874023005
0.0351196748964972,964.880325103503,1949,743.554888948536
0.0357951311576809,964.204868842319,1948,741.304350753025
0.0360105250506433,963.989474949357,1947,740.593162810484
0.0366625301486496,963.33746985135,1946,738.458998957766
0.0367882800538735,963.211719946127,1945,738.050561453751
0.0369359994552388,963.064000544761,1944,737.572057563302
0.0374228684901182,962.577131509882,1943,736.004711176152
0.0375809593074085,962.419040692592,1942,735.498960151278
0.0376555479783455,962.344452021655,1941,735.260877684385
0.0379207453581278,962.079254641872,1940,734.41714280641
0.0379931504450804,962.00684955492,1939,734.187527178032
0.038136891855774,961.863108144226,1938,733.732623672106
0.0389472661772207,961.052733822779,1937,731.191000481
0.0392789932513729,960.721006748627,1936,730.161640814432
0.0393499763464523,960.650023653548,1935,729.942197253464
0.0395788375218037,960.421162478196,1934,729.236623686678
0.0397206130547233,960.279386945277,1933,728.801015625017
0.0402483213344414,959.751678665559,1932,727.189460701604
0.0407941294042106,959.205870595789,1931,725.538667550625
0.0409433613722074,959.056638627793,1930,725.090106113443
0.0410847193438146,958.915280656185,1929,724.666304178977
0.0413966643640962,958.603335635904,1928,723.734796355163
0.0416738074491288,958.326192550871,1927,722.911471125991
0.0419115859332679,958.088414066732,1926,722.208246673894
0.0421568249507529,957.843175049247,1925,721.485981390916
0.0421958466577608,957.804153342239,1924,721.371337786311
0.0422428138013247,957.757186198675,1923,721.23345281969
0.0424690012088194,957.530998791181,1922,720.570969591763
0.0428063653217123,957.193634678288,1921,719.587596312429
0.0434722218792353,956.527778120765,1920,717.663080030226
0.0435630685234733,956.436931476527,1919,717.402167434286
0.0435851464896331,956.414853510367,1918,717.338818856463
0.0439596967758471,956.040303224153,1917,716.267645313639
0.0440548327894314,955.945167210569,1916,715.996620942369
0.0442664304266131,955.733569573387,1915,715.395337532555
0.0443435125780774,955.656487421923,1914,715.176815956103
0.0448585804012284,955.141419598772,1913,713.72366497044
0.0455381663612133,954.461833638787,1912,711.824756886524
0.0455690706779862,954.430929322014,1911,711.738893397491
0.0457695603888906,954.230439611109,1910,711.182882601275
0.0459158290284146,954.084170971585,1909,710.778354156084
0.0465321058379312,953.467894162069,1908,709.084135038349
0.0469201925922685,953.079807407732,1907,708.025569258031
0.0472227969120189,952.777203087981,1906,707.204565813096
0.0472474489341731,952.752551065827,1905,707.137849988606
0.0472664472797877,952.733552720212,1904,707.086451938989
0.0473570626682872,952.642937331713,1903,706.841507301555
0.0476560705345505,952.343929465449,1902,706.035654757154
0.0478560495522204,952.14395044778,1901,705.498737162652
0.0480128883112076,951.987111688792,1900,705.078782545398
0.0483233580405645,951.676641959435,1899,704.250386788035
0.0486869020065864,951.313097993414,1898,703.285268350957
0.048757246399872,951.242753600128,1897,703.099125305033
0.0488826066613832,951.117393338617,1896,702.767883159715
0.0490058843999015,950.994115600099,1895,702.442743776316
0.0493753604220074,950.624639577993,1894,701.471806178261
